"","study_ID","study","experiment","first_author","year","n_turbines","n_turbines_studied","total_capacity_study_turbines_kW","total_capacity_kW","capacity_class","turbine_type","max_diameter","n_blades","rpm","head","max_flow_rate_HPP","sampling_method","country","global_region","location","waterbody","MQ_waterbody","Lat","Long"
"157","Eyler_2016_Warren","Eyler et al. (2016)","Warren","Eyler",2016,3,3,750,750,"vSHP","Francis",NA,NA,NA,4.3,26.2,"telemetry","US","North America","Warren","Shenandoah River",NA,38.9549800145829,-78.1490183285836
"158","Eyler_2016_Millwille","Eyler et al. (2016)","Millwille","Eyler",2016,3,3,2840,2840,"SHP","Francis",NA,NA,NA,5,62.9,"telemetry","US","North America","Millwille","Shenandoah River",NA,39.2688794810535,-77.7835313640067
"159","Havn_2017_Kuhlemühle_Francis","Havn et al. (2017)","Kuhlemühle","Havn",2017,3,2,125,225,"vSHP","Francis",NA,NA,90,2.6,NA,"telemetry","Germany","Europe","Kuhlemühle","Diemel","10.63",51.4856586787055,9.19176314464971
"160","Havn_2017_Kuhlemühle_Screw","Havn et al. (2017)","Kuhlemühle","Havn",2017,3,1,100,225,"vSHP","Screw",3.4,NA,18,2.6,NA,"telemetry","Germany","Europe","Kuhlemühle","Diemel","10.63",51.4856586787055,9.19176314464971
"161","Tuononen_2020_PITstudy","Tuononen et al. (2020)","PITstudy","Tuononen",2020,3,1,550,1600,"SHP","VLH",4,8,NA,3.8,NA,"balloon","Canada","North America","Wasdell Falls","Severn River",NA,44.7809936733907,-79.2934743671288
"162","Tuononen_2020_Telemetrystudy","Tuononen et al. (2020)","Telemetrystudy","Tuononen",2020,3,1,550,1600,"SHP","VLH",4,8,NA,3.8,NA,"telemetry","Canada","North America","Wasdell Falls","Severn River",NA,44.7809936733907,-79.2934743671288
"163","Winter_2006_HPS1","Winter et al. (2006)","HPS1","Winter",2006,4,4,11480,11480,"LHP","Kaplan",4,3,88.23,4,450,"telemetry","Netherlands","Europe","Linne","Meuse","250",51.1675,5.92376
"164","Winter_2006_HPS2","Winter et al. (2006)","HPS2","Winter",2006,4,4,10000,10000,"LHP","Kaplan",NA,NA,NA,NA,NA,"telemetry","Netherlands","Europe","Lith","Meuse",NA,51.8110744796612,5.45362260494991
"165","Pauwels_2020_Ham_Low","Pauwels et al. (2020)","Ham Low","Pauwels",2020,3,1,400,1200,"SHP","Screw",3,NA,13.71,10,15,"net","Belgium","Europe","Ham","Albert Canal",NA,51.0974499257996,5.10558254862802
"166","Pauwels_2020_Ham_Medium","Pauwels et al. (2020)","Ham Medium","Pauwels",2020,3,1,400,1200,"SHP","Screw",3,NA,16.62,10,15,"net","Belgium","Europe","Ham","Albert Canal",NA,51.0974499257996,5.10558254862802
"167","Pauwels_2020_Ham_High","Pauwels et al. (2020)","Ham High","Pauwels",2020,3,1,400,1200,"SHP","Screw",3,NA,19.95,10,15,"net","Belgium","Europe","Ham","Albert Canal",NA,51.0974499257996,5.10558254862802
"168","Vowles_2014_HPM_Iskar","Vowles et al. (2014)","HPM Iskar","Vowles",2014,1,1,10,10,"vSHP","Other",2.4,10,NA,NA,NA,"net","Bulgaria","Europe","Mechkata","Iskar",NA,42.4306164506686,23.5316875735715
"169","Vikström_2020_Stornorrforsen_Francis","Vikström et al. (2020)","Stornorrfors_Francis","Vikström",2020,4,4,6e+05,6e+05,"LHP","Francis",4.75,16,132.5,75,1000,"telemetry","Sweden","Europe","Stornorrforsen","Umeälven",NA,63.853114696432,20.0499364209077
"170","Vikström_2020_Lanforsen_Kaplan","Vikström et al. (2020)","Lanforsen_Kaplan","Vikström",2020,4,4,39000,39000,"LHP","Kaplan",4.98,4,93.8,10,620,"telemetry","Sweden","Europe","Lanforsen","Dalälven",NA,60.5306878125244,17.4157778
"171","Mathur_2001_Test1","Mathur et al. (2001)","Test 1","Mathur",2001,6,1,135000,810000,"LHP","Kaplan",7.9,6,90,29.7,3590,"balloon","US","North America","Lower Granite Dam","Snake River",NA,46.6595564128902,-117.429357832263
"172","Mathur_2001_Test2","Mathur et al. (2001)","Test 2","Mathur",2001,6,1,135000,810000,"LHP","Kaplan",7.9,6,90,29.7,3590,"balloon","US","North America","Lower Granite Dam","Snake River",NA,46.6595564128902,-117.429357832263
"173","Mathur_2001_Test3","Mathur et al. (2001)","Test 3","Mathur",2001,6,1,135000,810000,"LHP","Kaplan",7.9,6,90,29.7,3590,"balloon","US","North America","Lower Granite Dam","Snake River",NA,46.6595564128902,-117.429357832263
"174","Mathur_2001_Test4","Mathur et al. (2001)","Test 4","Mathur",2001,6,1,135000,810000,"LHP","Kaplan",7.9,6,90,29.7,3590,"balloon","US","North America","Lower Granite Dam","Snake River",NA,46.6595564128902,-117.429357832263
"175","Mathur_2001_Test5","Mathur et al. (2001)","Test 5","Mathur",2001,6,1,135000,810000,"LHP","Kaplan",7.9,6,90,29.7,3590,"balloon","US","North America","Lower Granite Dam","Snake River",NA,46.6595564128902,-117.429357832263
