"","study_ID","study","experiment","first_author","year","n_turbines","n_turbines_studied","total_capacity_study_turbines_kW","total_capacity_kW","capacity_class","turbine_type","max_diameter","n_blades","rpm","head","max_flow_rate_HPP","sampling_method","country","global_region","location","waterbody","MQ_waterbody","Lat","Long"
"1","Holzner_2000_Mainkraftwerks_Dettelbach","Holzner (2000)","Mainkraftwerks Dettelbach","Holzner",2000,2,2,4500,4500,"SHP","Kaplan",3.54,4,100,4.55,120,"net","Germany","Europe","Dettelbach","Main","112",49.79465,10.1818
"2","Schmalz_2007_Wasserkraftanlage_Döbritschen","Schmalz & Schmalz (2007)","Wasserkraftanlage Döbritschen","Schmalz",2007,2,2,425,425,"vSHP","Francis",2.7,21,33,2.5,20,"net","Germany","Europe","Döbritschen","Saale","31.4",51.04296,11.6802
"3","Späh_2001_Schnecke_Höxter","Späh (2001)","Schnecke Höxter","Späh",2001,NA,1,18.5,18.5,"SHP","Screw",1.38,NA,NA,3.97,0.615,"net","Germany","Europe","Höxter-Godelheim","Nethe","5.65",51.73008,9.36678
"4","Schneider_2012_Mainkraftwerk_Kostheim_stocking","Schneider et al. (2012)","Mainkraftwerk Kostheim stocking","Schneider",2012,2,1,2480,4960,"SHP","Kaplan",3.71,3,85,3.76,160,"net","Germany","Europe","Kostheim","Main","210",50.00031,8.33493
"5","Edler_2011_Schnecke_Rhede-Krechting","Edler et al. (2011)","Schnecke Rhede-Krechting","Edler",2011,1,1,55,55,"vSHP","Screw",2.6,NA,NA,2.8,2.5,"net","Germany","Europe","Krechting","Bocholter Aa","2.7",51.81843,6.69863
"6","Matk_2012_WKA_Prossen_Lachsbach","Matk (2012)","WKA Prossen Lachsbach","Matk",2012,1,1,80,80,"vSHP","Francis",NA,NA,140,4.5,2.43,"net","Germany","Europe","Prossen","Lachsbach",NA,50.93309,14.13208
"7","Schmalz_2010_Walkmühle_Screw","Schmalz (2010)","Walkmühle Screw","Schmalz",2010,3,1,45.5,357,"vSHP","Screw",NA,NA,NA,2.55,14,"net","Germany","Europe","Meiningen","Werra","14",50.55134,10.41019
"8","Schmalz_2010_Walkmühle_Francisturbine","Schmalz (2010)","Walkmühle Francisturbine","Schmalz",2010,3,2,310,357,"vSHP","Francis",NA,18,NA,3.04,14,"net","Germany","Europe","Meiningen","Werra","14",50.55134,10.41019
"9","Schwevers_2011_Aalabstieg_Landesbergen","Schwevers et al. (2011)","Aalabstieg Landesbergen","Schwevers",2011,3,3,7200,7200,"SHP","Kaplan",4.5,4,69,3.76,200,"net","Germany","Europe","Landesbergen","Weser","193",52.57649,9.11159
"10","Schwevers_2011_Aalabstieg_Drakenburg","Schwevers et al. (2011)","Aalabstieg Drakenburg","Schwevers",2011,3,3,5000,5000,"SHP","Kaplan",4.5,4,60,3,200,"net","Germany","Europe","Drakenburg","Weser","208",52.68913,9.21175
"11","Hanfland_2006_Zehrer_Mühle","Hanfland et al. (2006)","Zehrer Mühle","Hanfland",2006,1,1,49,49,"vSHP","Cross-flow",NA,NA,NA,4.5,1.2,"net","Germany","Europe","Zehrer Mühle","Mitternacher Ohe","2.57",48.84948,13.3096
"12","Tombek_2008_Rödermühle_Schnecke","Tombek & Holzner (2008)","Rödermühle Schnecke","Tombek",2008,4,1,9.5,9.5,"vSHP","Screw",NA,NA,NA,1.1,NA,"net","Germany","Europe","Diebach","Fränkische Saale",NA,50.12414,9.83957
"13","Tombek_2008_Gugelmühle_Francisturbine","Tombek & Holzner (2008)","Gugelmühle Francisturbine","Tombek",2008,2,1,45,65,"vSHP","Francis",NA,NA,50,1.7,4.7,"net","Germany","Europe","Röckingen","Wörnitz",NA,49.04033,10.56207
"14","Tombek_2008_Gugelmühle_Schnecke","Tombek & Holzner (2008)","Gugelmühle Schnecke","Tombek",2008,2,1,20,65,"vSHP","Screw",2.2,NA,28,1.8,4.7,"net","Germany","Europe","Landkreis Ansbach","Wörnitz",NA,49.04033,10.56207
"15","Tombek_2008_Schüttentobel","Tombek & Holzner (2008)","Schüttentobel","Tombek",2008,NA,NA,NA,NA,"vSHP","Francis",NA,NA,NA,NA,NA,"net","Germany","Europe","Schüttentobel","Obere Argen",NA,47.61894,10.04622
"16","Tombek_2008_Rödermühle_Wasserrad","Tombek & Holzner (2008)","Rödermühle Wasserrad","Tombek",2008,4,2,NA,NA,"vSHP","Water wheel",NA,NA,NA,NA,NA,"net","Germany","Europe","Diebach","Fränkische Saale",NA,50.12414,9.83957
"17","Wagner_2013_WKA_Stahmeln","Wagner (2013a)","WKA Stahmeln","Wagner",2013,2,2,162,162,"vSHP","Francis",1.5,NA,40,1.6,8.25,"net","Germany","Europe","Stahmeln","Weiße Elster","7.5",51.37587,12.30133
"18","Wagner_2013_WKA_Wehlitz","Wagner (2013b)","WKA Wehlitz","Wagner",2013,1,1,116,116,"vSHP","Francis",2.3,23,39,2.3,8.5,"net","Germany","Europe","Wehlitz","Weiße Elster","7.5",51.38969,12.19689
"19","Schomaker_2016_Buchholzer_Mühle","Schomaker & Wolter (2016)","Buchholzer Mühle","Schomaker",2016,1,1,12,12,"vSHP","Water wheel",5,40,5,2,0.7,"net","Germany","Europe","Salzbrunn","Nieplitz","3.15",52.175402,12.930146
"20","Schomaker_2016_Wasserrad_Maustmühle","Schomaker & Wolter (2016)","Wasserrad Maustmühle","Schomaker",2016,1,1,1.6,1.6,"vSHP","Water wheel",3.9,24,6.86,0.41,0.8,"net","Germany","Europe","Peitz","Hammergraben",NA,51.827583,14.412573
"21","Schomaker_2016_Wassermühle_Gollmitz","Schomaker & Wolter (2016)","Wassermühle Gollmitz","Schomaker",2016,1,1,11,11,"vSHP","Water wheel",6,36,6.05,3.65,0.75,"net","Germany","Europe","Nordwestuckermark","Boitzenburger Strom","1",53.294045,13.720754
"22","Schomaker_2016_Eulenmühle_Glieneck","Schomaker & Wolter (2016)","Eulenmühle Glieneck","Schomaker",2016,1,1,18,18,"vSHP","Water wheel",6.5,40,5,3.1,1,"net","Germany","Europe","Ziesar","Buckau","0.62",52.283924,12.357978
"23","Schomaker_2016_Lohmühle_Nägelstedt","Schomaker & Wolter (2016)","Lohmühle Nägelstedt","Schomaker",2016,1,1,30,30,"vSHP","Water wheel",6.5,40,4.07,2,2,"net","Germany","Europe","Nägelstedt","Unstrut","4.03",51.10695,10.724406
"24","Schomaker_2016_Untermühle_Freienorla","Schomaker & Wolter (2016)","Untermühle Freienorla","Schomaker",2016,1,1,18,18,"vSHP","Water wheel",5.58,40,5.25,1.8,1.6,"net","Germany","Europe","Freienorla","Orla","1.35",50.76982,11.541762
"25","Schomaker_2016_Mühle_Ringleben","Schomaker & Wolter (2016)","Mühle Ringleben","Schomaker",2016,1,1,27,27,"vSHP","Water wheel",6.5,42,3,1.6,2.5,"net","Germany","Europe","Ringleben","Mahlgera",NA,51.103269,10.952733
"26","Schomaker_2016_Römische_Aumühle","Schomaker & Wolter (2016)","Römische Aumühle","Schomaker",2016,1,1,20,20,"vSHP","Water wheel",5.5,36,5.5,1.6,2,"net","Germany","Europe","Hadamar-Oberzeuzheim","Elbbach","3.997",50.482181,8.049425
"27","Schomaker_2016_Neumühle","Schomaker & Wolter (2016)","Neumühle","Schomaker",2016,1,1,15,15,"vSHP","Water wheel",5,36,5.2,2.1,1,"net","Germany","Europe","Hadamar-Niederhadamar","Elbbach","3.997",50.431476,8.040062
"28","Schmalz_2016_Wasserrad_Reurieth","Schmalz (2016)","Wasserrad Reurieth","Schmalz",2016,2,1,8.29,25.29,"vSHP","Water wheel",5,48,5,1.5,1.65,"net","Germany","Europe","Reurieth","Werra","2.56",50.45212,10.65737
"29","Schmalz_2016_Turbine_Reurieth","Schmalz (2016)","Turbine Reurieth","Schmalz",2016,2,1,17,25.29,"vSHP","Francis",NA,NA,NA,2,1.65,"net","Germany","Europe","Reurieth","Werra","2.56",50.45212,10.65737
"30","Schäfer_2016_TUM-Hydro_Shaft_Power_Plant_Prototype","Schäfer et al. (2016)","TUM-Hydro Shaft Power Plant Prototype","Schäfer",2016,1,1,35,35,"vSHP","Kaplan",0.75,4,333,2.5,1.5,"net","Germany","Europe","Obernach","Isar",NA,47.55545,11.29161
"31","Schultze_1989_WKA_Wahnhausen","Schultze (1989)","WKA Wahnhausen","Schultze",1989,1,1,4000,4000,"SHP","Kaplan",3.3,4,150,8.5,60,"net","Germany","Europe","Wahnhausen","Fulda","60",51.36288,9.54706
"32","Rathcke_2000_Aalschädigung_Landesbergen_1996","Rathcke (2000)","Aalschädigung Landesbergen 1996","Rathcke",1997,3,3,7200,7200,"SHP","Kaplan",4.5,4,69,3.76,200,"net","Germany","Europe","Landesbergen","Weser","193",52.57649,9.11159
"33","Rathcke_2000_Aalschädigung_Landesbergen_1999","Rathcke (2000)","Aalschädigung Landesbergen 1999","Rathcke",2000,3,3,7200,7200,"SHP","Kaplan",4.5,4,69,3.76,200,"net","Germany","Europe","Landesbergen","Weser","193",52.57649,9.11159
"34","Brauer_2007_Aalabstieg_Landesbergen_2006/07","Brauer (2007)","Aalabstieg Landesbergen 2006/07","Brauer",2007,3,3,7200,7200,"SHP","Kaplan",4.5,4,69,3.76,200,"net","Germany","Europe","Landesbergen","Weser","193",52.57649,9.11159
"35","Butschek_1956_WKA_Kleinwallstadt","Butschek & Hofbauer (1957)","WKA Kleinwallstadt","Butschek",1956,2,2,3400,3400,"SHP","Kaplan",4.4,NA,68.2,4,200,"net","Germany","Europe","Kleinwallstadt","Main","160",49.86858,9.16151
"36","Ache_2011_WKA_Vilshofen_Francisturbine","Ache (2011)","WKA Vilshofen Francisturbine","Ache",2011,3,2,300,330,"vSHP","Francis",NA,NA,130,3,11,"net","Germany","Europe","Vilshofen","Vils","10.5",48.61665,13.16891
"37","Ache_2011_WKA_Vilshofen_Screw","Ache (2011)","WKA Vilshofen Screw","Ache",2011,3,1,30,330,"vSHP","Screw",NA,NA,35.1,3,11,"net","Germany","Europe","Vilshofen","Vils","10.5",48.61665,13.16891
"38","Bracken_2013_Howsham_Mill","Bracken & Lucas (2013)","Howsham Mill","Bracken",2013,1,1,24,24,"vSHP","Screw",NA,NA,NA,1.8,NA,"net","Great Britain","Europe","Howstam Mill","Derwent","15.5",54.05587,-0.88612
"39","Monten_1985_Motala_Exp_1","Monten (1985)","Motala Exp 1","Monten",1985,1,1,173.74,173.74,"vSHP","Kaplan",0.6,6,450,14.6,1.4,"net","Sweden","Europe","Motala","Motala-Strom",NA,58.5434,15.078
"40","Monten_1985_Motala_Exp_2","Monten (1985)","Motala Exp 2","Monten",1985,1,1,173.74,173.74,"vSHP","Kaplan",0.6,6,630,14.6,1.4,"net","Sweden","Europe","Motala","Motala-Strom",NA,58.5434,15.078
"41","Monten_1985_Motala_Exp_3","Monten (1985)","Motala Exp 3","Monten",1985,1,1,99.28,99.28,"vSHP","Francis",0.64,19,450,14.6,0.8,"net","Sweden","Europe","Motala","Motala-Strom",NA,58.5434,15.078
"42","Monten_1985_Motala_Exp_4","Monten (1985)","Motala Exp 4","Monten",1985,1,1,99.28,99.28,"vSHP","Francis",0.64,19,345,14.6,0.8,"net","Sweden","Europe","Motala","Motala-Strom",NA,58.5434,15.078
"43","Monten_1985_Motala_Exp_5","Monten (1985)","Motala Exp 5","Monten",1985,1,1,173.74,173.74,"vSHP","Kaplan",0.6,6,630,14.6,1.4,"net","Sweden","Europe","Motala","Motala-Strom",NA,58.5434,15.078
"44","Monten_1985_Motala_Exp_6","Monten (1985)","Motala Exp 6","Monten",1985,1,1,99.28,99.28,"vSHP","Francis",0.64,19,381,14.6,0.8,"net","Sweden","Europe","Motala","Motala-Strom",NA,58.5434,15.078
"45","Monten_1985_Motala_Exp_7","Monten (1985)","Motala Exp 7","Monten",1985,1,1,173.74,173.74,"vSHP","Kaplan",0.6,6,598,14.6,1.4,"net","Sweden","Europe","Motala","Motala-Strom",NA,58.5434,15.078
"46","Monten_1985_Motala_Exp_8","Monten (1985)","Motala Exp 8","Monten",1985,1,1,99.28,99.28,"vSHP","Francis",0.64,19,381,14.6,0.8,"net","Sweden","Europe","Motala","Motala-Strom",NA,58.5434,15.078
"47","Monten_1985_Motala_Exp_9","Monten (1985)","Motala Exp 9","Monten",1985,1,1,173.74,173.74,"vSHP","Kaplan",0.6,6,598,14.6,1.4,"net","Sweden","Europe","Motala","Motala-Strom",NA,58.5434,15.078
"48","Monten_1985_Gustavsberg","Monten (1985)","Gustavsberg","Monten",1985,1,1,1075.25,1075.25,"SHP","Kaplan",1.3,4,375,11.5,11,"net","Sweden","Europe","Gustavsberg","Kilaan",NA,56.95664,13.09703
"49","Monten_1985_Langgöl","Monten (1985)","Langgöl","Monten",1985,1,1,1173,1173,"SHP","Kaplan",1.3,4,375,11.5,12,"net","Sweden","Europe","Langgöl","Ronnebyan",NA,56.35127,15.24917
"50","Monten_1985_Karlsnäs","Monten (1985)","Karlsnäs","Monten",1985,1,1,663,663,"vSHP","Kaplan",1.6,4,250,6,13,"net","Sweden","Europe","Karlsnäs","Ronnebyan",NA,56.29664,15.28833
"51","Monten_1985_Emsfors","Monten (1985)","Emsfors","Monten",1985,1,1,1122,1122,"SHP","Kaplan",1.95,4,187,6,22,"net","Sweden","Europe","Emsfors","Helgean",NA,56.21013,14.09606
"52","Monten_1985_Nöbbelöv","Monten (1985)","Nöbbelöv","Monten",1985,1,1,1955,1955,"SHP","Kaplan",1.94,4,250,10,23,"net","Sweden","Europe","Nöbbelöv","Helgean",NA,56.23536,14.07506
"53","Monten_1985_Broby","Monten (1985)","Broby","Monten",1985,1,1,1759.5,1759.5,"SHP","Kaplan",2.06,4,250,9,23,"net","Sweden","Europe","Broby","Helgean",NA,56.26603,14.08347
"54","Monten_1985_Kvarnaholm","Monten (1985)","Kvarnaholm","Monten",1985,1,1,3187.5,3187.5,"SHP","Kaplan",3,4,150,7.5,50,"net","Sweden","Europe","Kvarnaholm","Lagan",NA,56.53844,13.71303
"55","Monten_1985_Ängabäck","Monten (1985)","Ängabäck","Monten",1985,1,1,3060,3060,"SHP","Kaplan",3.3,4,125,6,60,"net","Sweden","Europe","Ängabäck","Lagan",NA,56.49456,13.51041
"56","Wagner_2013_WKA_Lützschena","Wagner (2013c)","WKA Lützschena","Wagner",2013,2,2,52,52,"vSHP","Francis",2.4,31,NA,1.15,7,"net","Germany","Europe","Lützschena","Weiße Elster","7.5",51.37878,12.27962
"57","Fishtek_2008_Eelexperiment","Fishtek (2008)","Eelexperiment","Fishtek",2008,1,1,42,42,"vSHP","Screw",2.2,NA,29,4.5,1.1,"net","Great Britain","Europe","Ashburton","Dart","8.4",50.52081,-3.78835
"58","Fishtek_2008_Keltexperiment","Fishtek (2008)","Keltexperiment","Fishtek",2008,1,1,42,42,"vSHP","Screw",2.2,NA,29,4.5,1.1,"net","Great Britain","Europe","Ashburton","Dart","8.4",50.52081,-3.78835
"59","Hadderingh_1998_Haandrik","Hadderingh & Baker (1998)","Haandrik","Hadderingh",1998,1,1,100,100,"vSHP","Kaplan",1.6,4,150,2,7,"net","Netherlands","Europe","Haandrik","Vechte","13.8",52.62151,6.69451
"60","Hadderingh_1998_Linne_1990_30_m3/s","Hadderingh & Baker (1998)","Linne 1990 30 m3/s","Hadderingh",1998,4,1,2870,11480,"LHP","Kaplan",4,3,88.23,4,450,"net","Netherlands","Europe","Linne","Meuse","250",51.1675,5.92376
"61","Hadderingh_1998_Linne_1990_50_m3/s","Hadderingh & Baker (1998)","Linne 1990 50 m3/s","Hadderingh",1998,4,1,2870,11480,"LHP","Kaplan",4,3,88.23,4,450,"net","Netherlands","Europe","Linne","Meuse","250",51.1675,5.92376
"62","Hadderingh_1998_Linne_1990_100_m3/s","Hadderingh & Baker (1998)","Linne 1990 100 m3/s","Hadderingh",1998,4,1,2870,11480,"LHP","Kaplan",4,3,88.23,4,450,"net","Netherlands","Europe","Linne","Meuse","250",51.1675,5.92376
"63","Hadderingh_1998_Linne_1991_30_m3/s","Hadderingh & Baker (1998)","Linne 1991 30 m3/s","Hadderingh",1998,4,1,2870,11480,"LHP","Kaplan",4,3,88.23,4,450,"net","Netherlands","Europe","Linne","Meuse","250",51.1675,5.92376
"64","Hadderingh_1998_Linne_1991_50_m3/s","Hadderingh & Baker (1998)","Linne 1991 50 m3/s","Hadderingh",1998,4,1,2870,11480,"LHP","Kaplan",4,3,88.23,4,450,"net","Netherlands","Europe","Linne","Meuse","250",51.1675,5.92376
"65","Hadderingh_2002_Linne_1999","Hadderingh & Bruijs (2002)","Linne 1999","Hadderingh",2002,4,1,2870,11480,"LHP","Kaplan",4,3,88.23,4,450,"net","Netherlands","Europe","Linne","Meuse","250",51.1675,5.92376
"66","Bruijs_2003_Linne_1999_30_m3/s","Bruijs et al (2003)","Linne 1999 30 m3/s","Bruijs",2003,4,1,2870,11480,"LHP","Kaplan",4,3,88.23,4,450,"net","Netherlands","Europe","Linne","Meuse","250",51.1675,5.92376
"67","Bruijs_2003_Linne_1999_50_m3/s","Bruijs et al (2003)","Linne 1999 50 m3/s","Bruijs",2003,4,1,2870,11480,"LHP","Kaplan",4,3,88.23,4,450,"net","Netherlands","Europe","Linne","Meuse","250",51.1675,5.92376
"68","Bruijs_2003_Linne_2002_30_m3/s","Bruijs et al (2003)","Linne 2002 30 m³/s","Bruijs",2003,4,1,2870,11480,"LHP","Kaplan",4,3,88.23,4,450,"net","Netherlands","Europe","Linne","Meuse","250",51.1675,5.92376
"69","Bruijs_2003_Linne_2002_50_m3/s","Bruijs et al (2003)","Linne 2002 50 m3/s","Bruijs",2003,4,1,2870,11480,"LHP","Kaplan",4,3,88.23,4,450,"net","Netherlands","Europe","Linne","Meuse","250",51.1675,5.92376
"70","Bruijs_2003_Linne_1999_100_m3/s","Bruijs et al (2003)","Linne 1999 100 m3/s","Bruijs",2003,4,1,2870,11480,"LHP","Kaplan",4,3,88.23,4,450,"net","Netherlands","Europe","Linne","Meuse","250",51.1675,5.92376
"71","Janac_2013_Nove_Mlyny","Janac et al (2013)","Nove Mlyny","Janac",2013,2,1,2300,2500,"SHP","Kaplan",2.4,4,166.7,7,34,"net","Czech Republic","Europe","Nove Mlyny","Dyje","41",48.85812,16.72349
"72","Berg_1986","Berg (1986)","Berg (1986)","Berg",1986,1,1,3500,3500,"SHP","Kaplan",4.2,5,83.4,5.3,80,"net","Germany","Europe","Neckarzimmern","Neckar",NA,49.31572,9.13311
"73","Berg_1993","Berg (1993) in Ebel (2008)","Berg (1993)","Berg",1993,1,1,3500,3500,"SHP","Kaplan",4.2,5,83.4,5.3,80,"net","Germany","Europe","Neckarzimmern","Neckar",NA,49.31572,9.13311
"74","Berg_1987_30_m3/s","Berg (1987) in Ebel (2008)","Berg (1987) 30 m3/s","Berg",1987,3,NA,NA,2600,"SHP","Kaplan",2.41,4,142,3.77,NA,"net","Germany","Europe","Am letzten Heller","Werra",NA,51.40804,9.70974
"75","Berg_1987_17_m3/s","Berg (1987) in Ebel (2008)","Berg (1987) 17 m3/s","Berg",1987,3,NA,NA,2600,"SHP","Kaplan",2.41,4,142,3.77,NA,"net","Germany","Europe","Am letzten Heller","Werra",NA,51.40804,9.70974
"76","von_Raben_1955_Versuche_Berufsfischer","von Raben (1955)","Versuche Berufsfischer","von Raben",1955,2,2,3200,3200,"SHP","Kaplan",4.45,4,86.2,3.5,150,"net","Germany","Europe","Obernau","Main","160",49.93313,9.12882
"77","von_Raben_1955_Eigene_Untersuchung","von Raben (1955)","Raben Eigene Untersuchung","von Raben",1955,2,2,3200,3200,"SHP","Kaplan",4.45,4,86.2,3.5,150,"net","Germany","Europe","Obernau","Main","160",49.93313,9.12882
"78","Schneider_2012_Mainkraftwerk_Kostheim_natural_migration","Schneider et al. (2012)","Mainkraftwerk Kostheim natural migration","Schneider",2012,2,1,2480,4960,"SHP","Kaplan",3.71,3,85,3.76,160,"net","Germany","Europe","Kostheim","Main","210",50.00031,8.33493
"79","Schneider_2012_Mainkraftwerk_Kostheim_Salmon_experiment","Schneider et al. (2012)","Mainkraftwerk Kostheim Salmon experiment","Schneider",2012,2,1,2480,4960,"SHP","Kaplan",3.71,3,85,3.76,160,"net","Germany","Europe","Kostheim","Main","210",50.00031,8.33493
"80","Bochert_2004_WKA_Bobzin","Bochert et al. (2004)","WKA Bobzin","Bochert",2004,1,1,140,140,"vSHP","Kaplan",NA,4,550,7,3.3,"net","Germany","Europe","Bobzin","Müritz-Elde-Wasserstraße",NA,53.49211,12.07141
"81","Bochert_2004_WKA_Neubukow","Bochert et al. (2004)","WKA Neubukow","Bochert",2004,1,NA,NA,35,"vSHP","Francis",NA,NA,NA,4,NA,"net","Germany","Europe","Neubukow","Hellbach","0.96",54.03214,11.66796
"82","Bochert_2004_WKA_Schildfeld","Bochert et al. (2004)","WKA Schildfeld","Bochert",2004,1,NA,NA,44,"vSHP","Francis",NA,NA,NA,2.3,NA,"net","Germany","Europe","Schildfeld","Schilde","2.08",53.44231,10.90923
"83","Pinter_2009_Wasserkraftschnecke_Lunz","Pinter & Unfer (2009)","Wasserkraftschnecke Lunz","Pinter",2009,2,1,40,91,"vSHP","Screw",NA,NA,NA,2.6,4,"other","Austria","Europe","Lunz","Ybbs",NA,47.8599,15.02783
"84","Ballesteros_2001_Prianes_200rpm","Ballesteros & Vazquez (2001)","Prianes 200rpm","Ballesteros",2001,2,NA,NA,4000,"SHP","Kaplan",1.9,5,200,18.85,NA,"balloon","Spain","Europe","Prianes","Nora",NA,43.38275,-5.97492
"85","Ballesteros_2001_Prianes_300rpm_30qms","Ballesteros & Vazquez (2001)","Prianes 300rpm 30qms","Ballesteros",2001,1,NA,NA,10000,"LHP","Kaplan",3.1,5,300,18.85,NA,"balloon","Spain","Europe","Prianes","Nora",NA,43.38275,-5.97492
"86","Ballesteros_2001_Prianes_300rpm_60qms","Ballesteros & Vazquez (2001)","Prianes 300rpm 60qms","Ballesteros",2001,1,NA,NA,10000,"LHP","Kaplan",3.1,5,300,18.85,NA,"balloon","Spain","Europe","Prianes","Nora",NA,43.38275,-5.97492
"87","Ballesteros_2001_Valduno_25qms","Ballesteros & Vazquez (2001)","Valduno 25qms","Ballesteros",2001,2,NA,NA,2500,"SHP","Kaplan",3.16,4,122,3.8,NA,"balloon","Spain","Europe","Valduno","Nalon",NA,43.38892,-6.00272
"88","Ballesteros_2001_Valduno_50qms","Ballesteros & Vazquez (2001)","Valduno 50qms","Ballesteros",2001,2,NA,NA,2500,"SHP","Kaplan",3.16,4,122,3.8,NA,"balloon","Spain","Europe","Valduno","Nalon",NA,43.38892,-6.00272
"89","Ballesteros_2001_Puerto_11qms","Ballesteros & Vazquez (2001)","Puerto 11qms","Ballesteros",2001,1,NA,NA,1000,"SHP","Kaplan",1.7,4,275,8,NA,"balloon","Spain","Europe","Puerto","Nalon",NA,43.32403,-5.92842
"90","Ballesteros_2001_Puerto_8qms","Ballesteros & Vazquez (2001)","Puerto 8qms","Ballesteros",2001,1,NA,NA,500,"vSHP","Kaplan",1.6,4,332,8,NA,"balloon","Spain","Europe","Puerto","Nalon",NA,43.32403,-5.92842
"91","Ballesteros_2001_Olloniego","Ballesteros & Vazquez (2001)","Olloniego","Ballesteros",2001,1,NA,NA,750,"vSHP","Kaplan",2,4,340,8.75,NA,"balloon","Spain","Europe","Olloniego","Nalon",NA,43.30559,-5.83343
"92","Mueller_2020_Baiersdorf_natural_migration","Mueller et al. (2020a)","Baiersdorf natural migration","Mueller",2020,2,2,648,648,"vSHP","Kaplan",2,4,150,2.3,32,"net","Germany","Europe","Baiersdorf-Wellerstadt","Regnitz","34.8",49.67059,11.04235
"93","Mueller_2020_Baiersdorf_stocking","Mueller et al. (2020a)","Baiersdorf stocking","Mueller",2020,2,2,648,648,"vSHP","Kaplan",2,4,150,2.3,32,"net","Germany","Europe","Baiersdorf-Wellerstadt","Regnitz","34.8",49.67059,11.04235
"94","Mueller_2020_Lindesmühle_natural_migration","Mueller et al. (2020b)","Lindesmühle natural migration","Mueller",2020,1,1,270,270,"vSHP","Kaplan",1.5,3,212,2.81,10.8,"net","Germany","Europe","Bad Kissingen","Fränkische Saale","12.3",50.1879,10.07421
"95","Mueller_2020_Lindesmühle_stocking","Mueller et al. (2020b)","Lindesmühle stocking","Mueller",2020,1,1,270,270,"vSHP","Kaplan",1.5,3,212,2.81,10.8,"net","Germany","Europe","Bad Kissingen","Fränkische Saale","12.3",50.1879,10.07421
"96","Mueller_2020_Iller_natural_migration","Mueller et al. (2020c)","Iller natural migration","Mueller",2020,2,2,900,900,"vSHP","VLH",5,8,25.5,1.82,54,"net","Germany","Europe","Kempten/Au","Iller","46.6",47.68465,10.31972
"97","Mueller_2020_Iller_stocking_LF","Mueller et al. (2020c)","Iller stocking low flow","Mueller",2020,2,2,900,900,"vSHP","VLH",5,8,23.75,1.82,54,"net","Germany","Europe","Kempten/Au","Iller","46.6",47.68465,10.31972
"98","Mueller_2020_Iller_stocking_HF","Mueller et al. (2020c)","Iller stocking high flow","Mueller",2020,2,2,900,900,"vSHP","VLH",5,8,27,1.82,54,"net","Germany","Europe","Kempten/Au","Iller","46.6",47.68465,10.31972
"99","Mueller_2020_Heckerwehr_natural_migration","Mueller et al. (2020d)","Heckerwehr natural migration","Mueller",2020,1,1,80,80,"vSHP","Screw",3.2,NA,13,2.53,5,"net","Germany","Europe","Heckerwehr","Roth","3.17",49.23298,11.12304
"100","Mueller_2020_Heckerwehr_stocking_LF","Mueller et al. (2020d)","Heckerwehr stocking low flow","Mueller",2020,1,1,80,80,"vSHP","Screw",3.2,NA,7.8,2.53,5,"net","Germany","Europe","Heckerwehr","Roth","3.17",49.23298,11.12304
"101","Mueller_2020_Heckerwehr_stocking_HF","Mueller et al. (2020d)","Heckerwehr stocking high flow","Mueller",2020,1,1,80,80,"vSHP","Screw",3.2,NA,18.75,2.53,5,"net","Germany","Europe","Heckerwehr","Roth","3.17",49.23298,11.12304
"102","Mueller_2020_Eixendorf_stocking_LF","Mueller et al. (2020e)","Eixendorf stocking low flow","Mueller",2020,1,1,190,190,"vSHP","Kaplan",1,4,333,5,4.5,"net","Germany","Europe","Eixendorf","Schwarzach","4.32",49.33973,12.47965
"103","Mueller_2020_Eixendorf_stocking_HF","Mueller et al. (2020e)","Eixendorf stocking high flow","Mueller",2020,1,1,190,190,"vSHP","Kaplan",1,4,333,5,4.5,"net","Germany","Europe","Eixendorf","Schwarzach","4.32",49.33973,12.47965
"104","Mueller_2020_Baierbrunn_natural_migration","Mueller et al. (2020f)","Baierbrunn natural migration","Mueller",2020,1,1,450,450,"vSHP","VLH",3.55,8,49.1,4,14.5,"net","Germany","Europe","Baierbrunn","Isar","63.8",48.02684,11.5021
"105","Mueller_2020_Baierbrunn_stocking_LF","Mueller et al. (2020f)","Baierbrunn stocking LF","Mueller",2020,1,1,450,450,"vSHP","VLH",3.55,8,42.35,4,14.5,"net","Germany","Europe","Baierbrunn","Isar","63.8",48.02684,11.5021
"106","Mueller_2020_Baierbrunn_stocking_HF","Mueller et al. (2020f)","Baierbrunn stocking HF","Mueller",2020,1,1,450,450,"vSHP","VLH",3.55,8,53.5,4,14.5,"net","Germany","Europe","Baierbrunn","Isar","63.8",48.02684,11.5021
"107","Mueller_2020_Höllthal_natural_migration_Kaplan","Mueller et al. (2020g)","Höllthal natural migration Kaplan","Mueller",2020,1,1,265,571,"vSHP","Kaplan",2.5,4,100,2,36,"net","Germany","Europe","Höllthal","Alz","51.5",47.97806,12.50275
"108","Mueller_2020_Höllthal_natural_migration_screws","Mueller et al. (2020g)","Höllthal natural migration screws","Mueller",2020,2,2,306,571,"vSHP","Screw",4.3,NA,14,2,36,"net","Germany","Europe","Höllthal","Alz","51.5",47.97806,12.50275
